"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Albania","ALB","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",19.023,18.57,17.891,16.985,16.306,15.966,15.626,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108,10.25
"Argentina","ARG","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",15,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,7.579,8.085,8.347,9.22,9.843,11.461,8.736,6.805,6.139,7.876
"Armenia","ARM","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",11.095,10.992,10.833,10.705,10.617,10.54,10.465,10.394,17.1,19.295,19.523,18.884,17.511,16.576,17.498,18.261,17.617,17.704,18.966,18.304,18.175,15.469,13.379,13.245,13.329
"Australia","AUS","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.288,6.747,6.375,5.933,5.399,5.036,4.785,4.381,4.242,5.565,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.3,5.159,6.456,5.116,3.728,3.668,4.072
"Austria","AUT","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.687,4.007,4.852,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,5.439
"Azerbaiyán","AZE","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5,7.24,6.04,5.65,5.636,5.594
"Bélgica","BEL","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.586,6.178,6.91,7.68,7.363,8.44,8.246,7.459,6.976,7.908,8.293,7.14,7.542,8.425,8.523,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.528,5.488
"Benin","BEN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",0.864,0.765,0.69,0.747,0.79,0.86,0.889,0.902,0.894,0.949,1.04,2.647,2.406,2.099,1.872,1.82,1.784,1.659,1.41,1.214,1.502,1.779,1.685,1.657,1.722
"Burkina Faso","BFA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.679,2.74,2.851,2.78,3.473,4,3.669,3.3,3.496,3.711,3.723,3.827,3.856,4.055,4.251,4.461,4.587,4.656,4.695,4.71,5.04,5.2,5.389,5.348,5.166
"Bangladesh","BGD","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3.27,3.61,3.966,4.32,4.314,4.25,3.591,4.017,4.492,5,3.379,3.736,4.071,4.426,4.416,4.396,4.35,4.372,4.407,4.441,5.436,5.327,4.593,4.454,4.68
"Bulgaria","BGR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",16.218,19.921,18.11,13.733,12.037,10.083,8.951,6.878,5.609,6.817,10.279,11.26,12.27,12.941,11.424,9.143,7.575,6.164,5.211,4.23,5.125,5.267,4.268,4.319,4.104
"Bosnia y Herzegovina","BIH","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",25.187,26.289,27.312,28.447,29.276,30.227,31.11,28.984,23.405,24.068,27.312,27.582,28.01,27.49,27.517,27.695,25.408,20.527,18.4,15.692,15.868,14.897,12.657,10.668,10.723
"Belarús","BLR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",12.224,11.609,10.908,10.215,9.452,8.728,8.024,7.38,6.698,6.1,6.045,6.022,5.946,5.937,5.902,5.881,5.844,5.648,4.763,4.165,4.049,3.9,3.574,3.461,3.361
"Bolivia","BOL","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.447,2.636,2.613,2.664,2.622,2.603,2.577,2.616,2.603,2.973,2.608,2.255,2.066,2.437,2.021,3.111,3.498,3.655,3.519,3.682,7.903,5.089,3.552,3.024,3.091
"Brasil","BRA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",10.889,10.649,10.641,11.168,10.072,10.551,9.692,9.28,8.268,9.419,8.422,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.329,11.936,13.697,13.158,9.231,7.947,7.634
"Bhután","BTN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",1.66,1.9,1.853,1.8,2.49,3.1,3.13,3.7,3.842,3.96,3.32,3.23,2.05,2.87,2.63,2.45,2.705,3.016,3.35,2.72,5.03,4.803,5.947,3.126,2.856
"Canadá","CAN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.829,7.219,7.665,7.574,7.185,6.758,6.484,6.156,6.284,8.46,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.279,5.415,6.45
"Suiza","CHE","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.658,2.49,2.924,4.117,4.316,4.437,3.995,3.641,3.35,4.109,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043,4.11
"Chile","CHL","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",10.491,10.39,10.168,9.765,10.162,9.34,9.024,8.427,9.285,11.313,8.278,7.277,6.562,6.074,6.483,6.313,6.673,7.257,7.623,7.493,10.934,9.281,8.249,9.013,9.056
