"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Albania","ALB",NA,NA,31.7,NA,NA,30.6,NA,NA,30,NA,NA,NA,29,NA,34.6,32.8,33.7,33.1,30.1,30.1,29.4,NA,NA,NA,NA
"Argentina","ARG",51,53.3,53.8,51,48.5,47.8,46.4,46.3,45,43.8,43.7,42.7,41.4,41.1,41.8,NA,42.3,41.4,41.7,43.3,42.7,42.4,40.7,42.4,42.4
"Armenia","ARM",NA,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30,25.1,27.9,27.9,27.2,NA
"Australia","AUS",NA,33.5,NA,33.5,33.1,NA,NA,NA,35.4,NA,34.7,NA,NA,NA,34.4,NA,33.7,NA,34.3,NA,33.8,NA,NA,NA,NA
"Austria","AUT",29,NA,NA,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,30.9,31.2,NA
"Azerbaiyán","AZE",NA,36.5,25.3,26.8,26.6,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bélgica","BEL",33.1,NA,NA,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26,26.6,26.4,26.8,NA
"Benin","BEN",NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA,47.6,NA,NA,37.9,NA,NA,34.4,NA,NA,NA
"Burkina Faso","BFA",NA,NA,NA,43.3,NA,NA,NA,NA,NA,39.8,NA,NA,NA,NA,35.3,NA,NA,NA,43,NA,NA,37.4,NA,NA,NA
"Bangladesh","BGD",33.4,NA,NA,NA,NA,33.2,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA,32.4,NA,NA,NA,NA,NA,30.9,NA,NA
"Bulgaria","BGR",NA,32.7,NA,28.9,NA,NA,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,38.6,40.6,40.4,41.3,40.3,40.5,39,38.2,39.5,NA
"Bosnia y Herzegovina","BIH",NA,30,NA,NA,34,NA,NA,33.1,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarús","BLR",31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,NA,NA,NA,NA
"Bolivia","BOL",61.6,57.4,59.3,NA,55,58.5,56.7,54.5,50.8,49.2,NA,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,41.2,42.1,NA
"Brasil","BRA",NA,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,NA,52.9,53.4,52.7,52,51.9,53.4,53.3,53.9,53.5,48.9,52.9,52,51.6,NA
"Bhután","BTN",NA,NA,NA,40.9,NA,NA,NA,38.1,NA,NA,NA,NA,38.8,NA,NA,NA,NA,37.4,NA,NA,NA,NA,28.5,NA,NA
"Canadá","CAN",33.4,33.6,33.6,33.8,33.8,33.6,34.1,33.8,33.9,34,33.6,32.7,33.5,33.8,33.2,33.7,32.7,33.3,32.5,31.7,29.9,31.1,NA,NA,NA
"Suiza","CHE",33.4,NA,31.7,NA,31.6,NA,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,33,32.7,33.1,34,33.7,33.8,33.8,NA,NA
"Chile","CHL",52.8,NA,NA,51.5,NA,NA,47.7,NA,NA,47.4,NA,46.9,NA,46.8,NA,45.3,NA,45.3,NA,NA,47,NA,43,NA,NA
"China","CHN",NA,NA,42,NA,NA,40.9,NA,NA,43,NA,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36,NA,NA
"Côte d'Ivoire","CIV",NA,NA,41.3,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,41.5,NA,NA,37.2,NA,NA,35.3,NA,NA,NA
"Camerún","CMR",NA,42.1,NA,NA,NA,NA,NA,42.8,NA,NA,NA,NA,NA,NA,46.6,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA
"Colombia","COL",58.4,57.3,56,53.6,55,53.9,NA,NA,55.3,54.3,54.6,53.5,52.6,52.6,52.5,51,50.6,49.7,50.4,51.3,53.5,55.1,54.8,53.9,NA
"Costa Rica","CRI",47.4,51.5,51.8,49.3,48.4,47.5,49.3,49.3,48.6,50.6,48,48.8,48.4,49.2,48.6,48.4,48.7,48.3,48,48.2,49.2,48.7,47.2,46.7,45.8
"Chipre","CYP",NA,NA,NA,NA,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,32.9,31.4,32.7,31.2,31.7,31.3,31.5,31.8,NA
