"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Albania","ALB","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",NA,NA,4.2,NA,NA,2.7,NA,NA,0.8,NA,NA,NA,1.8,NA,3.7,1.1,1.1,1.4,1,0.3,0.3,NA,NA,NA,NA
"Argentina","ARG","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",7.3,10.7,17.1,8.2,6,4.4,3.5,2.8,2.6,2.4,1.5,1.2,1.3,1.1,1.1,NA,1.3,1.1,1.6,1.7,2.2,1.4,1.3,1.2,1
"Armenia","ARM","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",NA,24.1,19.8,14.8,10.3,6.1,4.5,3.7,2,3.1,2.9,3.1,2.5,2.9,3.4,2.9,2.5,2.4,2.9,2.4,1.5,2.1,1.9,1.9,NA
"Australia","AUS","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",NA,1,NA,1,0.7,NA,NA,NA,0.7,NA,0.3,NA,NA,NA,0.5,NA,0.5,NA,0.5,NA,1,NA,NA,NA,NA
"Austria","AUT","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",0.2,NA,NA,0.4,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.5,0.7,0.3,0.2,0.7,0.7,0.3,0.6,0.6,0.7,0.5,0.6,0.5,NA
"Azerbaiyán","AZE","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",NA,11.4,0.2,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bélgica","BEL","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",0.3,NA,NA,0.4,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0.1,NA
"Benin","BEN","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",NA,NA,NA,70.5,NA,NA,NA,NA,NA,NA,NA,68.4,NA,NA,NA,65.8,NA,NA,37.2,NA,NA,27.2,NA,NA,NA
"Burkina Faso","BFA","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",NA,NA,NA,69.6,NA,NA,NA,NA,NA,67.2,NA,NA,NA,NA,58.7,NA,NA,NA,47.7,NA,NA,42.1,NA,NA,NA
"Bangladesh","BGD","Tasa de incidencia de la pobreza, sobre la base de $3,00 por día (2021 PPA) (% de la población)","SI.POV.DDAY",41.4,NA,NA,NA,NA,32.3,NA,NA,NA,NA,25.1,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,5.9,NA,NA
