"Country Name","Country Code","2015","2019","2021"
"Albania","ALB",17.193,11.466,11.474
"Argentina","ARG",7.579,9.843,8.736
"Armenia","ARM",18.261,18.304,15.469
"Australia","AUS",6.055,5.159,5.116
"Austria","AUT",5.802,4.56,6.459
"Azerbaiyán","AZE",4.96,5,6.04
"Bélgica","BEL",8.482,5.364,6.248
"Benin","BEN",1.82,1.214,1.779
"Burkina Faso","BFA",4.461,4.71,5.2
"Bangladesh","BGD",4.396,4.441,5.327
"Bulgaria","BGR",9.143,4.23,5.267
"Bosnia y Herzegovina","BIH",27.695,15.692,14.897
"Belarús","BLR",5.881,4.165,3.9
"Bolivia","BOL",3.111,3.682,5.089
"Brasil","BRA",8.538,11.936,13.158
"Bhután","BTN",2.45,2.72,4.803
"Canadá","CAN",6.945,5.69,7.527
"Suiza","CHE",4.801,4.394,5.013
"Chile","CHL",6.313,7.493,9.281
"China","CHN",4.65,4.56,4.55
"Côte d'Ivoire","CIV",2.579,2.401,2.63
"Camerún","CMR",3.518,3.622,3.973
"Colombia","COL",8.572,10.28,13.898
"Costa Rica","CRI",8.415,10.807,15.139
"Chipre","CYP",15.026,7.155,7.513
"República Checa","CZE",5.048,2.015,2.803
"Alemania","DEU",4.612,3.163,3.594
"Djibouti","DJI",26.07,26.256,27.668
"Dinamarca","DNK",6.278,5.018,5.043
"República Dominicana","DOM",7.605,6.356,7.702
"Ecuador","ECU",3.616,3.812,4.552
"Egipto, República Árabe de","EGY",13.052,7.851,7.441
"España","ESP",22.057,14.104,14.781
"Estonia","EST",6.412,4.514,6.178
"Etiopía","ETH",2.443,2.917,3.935
"Finlandia","FIN",9.376,6.695,7.617
"Fiji","FJI",4.291,4.373,4.701
"Francia","FRA",10.354,8.415,7.874
"Reino Unido","GBR",5.517,3.613,4.826
"Georgia","GEO",16.506,11.565,11.791
"Guinea","GIN",5.224,5.018,5.827
"Gambia","GMB",7.26,4.538,6.269
"Guinea-Bissau","GNB",3.157,2.413,3.031
"Grecia","GRC",24.981,17.045,14.656
"Guatemala","GTM",2.506,2.193,2.174
"Honduras","HND",6.147,5.698,8.506
"Croacia","HRV",16.175,6.617,7.608
"Hungría","HUN",6.813,3.419,4.045
"Indonesia","IDN",4.514,3.59,3.827
"India","IND",7.631,6.51,6.38
"Irlanda","IRL",9.908,4.95,6.364
"Irán, República Islámica del","IRN",11.166,10.74,9.282
"Islandia","ISL",3.979,3.507,6.029
"Israel","ISR",5.176,3.731,4.812
"Italia","ITA",11.896,9.951,9.497
"Jamaica","JAM",8.825,4.987,5.188
"Jordania","JOR",13.075,16.801,19.837
"Japón","JPN",3.385,2.351,2.828
"Kazajstán","KAZ",4.93,4.8,5.546
"Kenya","KEN",2.762,5.014,5.693
"Kirguistán","KGZ",3.338,4.295,4.096
"Corea, República de","KOR",3.546,3.746,3.639
"República Democrática Popular Lao","LAO",2.494,2.537,2.066
"Sri Lanka","LKA",4.519,4.67,4.981
"Lituania","LTU",9.12,6.255,7.112
"Luxemburgo","LUX",6.796,5.592,5.571
"Letonia","LVA",9.873,6.312,7.513
"República de Moldova","MDA",1.742,1.466,0.785
"Madagascar","MDG",1.785,2.469,3.487
"Maldivas","MDV",6.604,4.562,5.024
"México","MEX",4.311,3.477,4.019
"Macedonia del Norte","MKD",26.395,17.414,15.801
"Malí","MLI",1.401,3.29,3.966
"Malta","MLT",5.389,3.616,3.394
"Montenegro","MNE",17.555,15.128,16.543
"Mongolia","MNG",4.861,9.269,7.747
"Mozambique","MOZ",3.426,3.646,4.053
"Mauritania","MRT",10.108,10.416,11.144
"Malawi","MWI",4.954,4.966,5.662
"Malasia","MYS",3.1,3.26,4.64
"Níger","NER",0.553,0.531,0.78
"Nigeria","NGA",4.135,5.206,5.45
"Nicaragua","NIC",4.7,5.472,6.118
"Países Bajos","NLD",6.872,3.379,4.209
"Noruega","NOR",4.296,3.684,4.359
"Pakistán","PAK",3.566,4.83,6.338
"Panamá","PAN",4.335,6.256,10.177
"Perú","PER",3.272,3.379,5.097
"Filipinas","PHL",3.068,2.237,3.398
"Polonia","POL",7.475,3.267,3.268
"Portugal","PRT",12.447,6.464,6.577
"Paraguay","PRY",4.556,6.595,7.311
"Ribera Occidental y Gaza","PSE",23.005,25.34,26.39
"Rumania","ROU",6.812,3.912,5.59
"Federación de Rusia","RUS",5.615,4.513,4.749
"Rwanda","RWA",11.838,11.236,15.775
"Senegal","SEN",6.757,2.863,3.44
"El Salvador","SLV",3.998,4.17,4.327
"Serbia","SRB",17.66,10.395,9.843
"República Eslovaca","SVK",11.492,5.761,6.894
"Eslovenia","SVN",8.962,4.446,4.744
"Suecia","SWE",7.432,6.833,8.722
"República Árabe Siria","SYR",14.243,13.36,14.877
"Chad","TCD",0.974,1.084,1.548
"Togo","TGO",2.204,2.036,2.333
"Tailandia","THA",0.597,0.716,1.215
"Tayikistán","TJK",11.485,11.419,12.333
"Tonga","TON",2.024,2.157,2.111
"Túnez","TUN",15.159,17.153,16.611
"Turquía","TUR",10.304,13.73,11.969
"Tanzanía","TZA",2.159,2.496,2.821
"Uganda","UGA",2.679,3.06,3.422
"Ucrania","UKR",9.14,8.194,9.834
"Uruguay","URY",7.488,8.836,9.328
"Estados Unidos","USA",5.28,3.669,5.349
"Uzbekistán","UZB",5.15,4.932,5.364
"Venezuela","VEN",6.137,5.876,7.037
"Viet Nam","VNM",1.848,1.681,2.385
"Kosovo","XKX",NA,NA,NA
"Sudáfrica","ZAF",25.149,28.468,34.007
"Zambia","ZMB",5.942,5.542,5.199
