"Country Name","Country Code","2015","2019","2021"
"Albania","ALB",32.8,30.1,29.4
"Argentina","ARG",42.05,43.3,42.4
"Armenia","ARM",32.4,30,27.9
"Australia","AUS",34.05,34.05,33.8
"Austria","AUT",30.5,30.2,30.7
"Azerbaiyán","AZE",26.6,26.6,26.6
"Bélgica","BEL",27.7,27.2,26.6
"Benin","BEN",47.6,36.7333333333333,34.4
"Burkina Faso","BFA",37.225,41.1333333333333,37.4
"Bangladesh","BGD",32.35,31.65,31.15
"Bulgaria","BGR",38.6,40.3,39
"Bosnia y Herzegovina","BIH",33,33,33
"Belarús","BLR",25.6,25.3,24.4
"Bolivia","BOL",46.7,41.6,40.9
"Brasil","BRA",51.9,53.5,52.9
"Bhután","BTN",37.96,33.84,30.28
"Canadá","CAN",33.7,31.7,31.1
"Suiza","CHE",32.3,34,33.8
"Chile","CHL",45.3,46.4333333333333,45
"China","CHN",38.6,38.2,35.7
"Côte d'Ivoire","CIV",41.5,36.5666666666667,35.3
"Camerún","CMR",45.9714285714286,43.4571428571429,42.2
"Colombia","COL",51,51.3,55.1
"Costa Rica","CRI",48.4,48.2,48.7
"Chipre","CYP",34,31.2,31.3
"República Checa","CZE",25.9,25.3,26.2
"Alemania","DEU",31.7,31.8,32.4
"Djibouti","DJI",42.85,41.6,41.6
"Dinamarca","DNK",28.2,27.7,28.3
"República Dominicana","DOM",45.2,41.9,38.5
"Ecuador","ECU",46,45.7,45.8
"Egipto, República Árabe de","EGY",31.8,31.9,28.5
"España","ESP",36.2,34.3,33.9
"Estonia","EST",32.7,30.8,31.8
"Etiopía","ETH",35,32.4,31.1
"Finlandia","FIN",27.1,27.7,27.7
"Fiji","FJI",34.7,30.7,30.7
"Francia","FRA",32.7,31.2,31.5
"Reino Unido","GBR",33.3,32.8,32.4
"Georgia","GEO",36.5,35.9,34.2
"Guinea","GIN",31.65,29.6,29.6
"Gambia","GMB",35.9,38.22,38.8
"Guinea-Bissau","GNB",40.725,34.3333333333333,33.4
"Grecia","GRC",36,33.1,32.9
"Guatemala","GTM",47.9555555555556,46.5777777777778,45.8888888888889
"Honduras","HND",49.2,48.2,47.5
