"Country Name","Country Code","2015","2019","2021"
"Albania","ALB",7.7,8.5,8.4
"Argentina","ARG",4.95,4.6,5
"Armenia","ARM",8.2,8.9,9.4
"Australia","AUS",7.55,7.35,7.3
"Austria","AUT",7.9,7.9,7.7
"Azerbaijan","AZE",10.8,10.8,10.8
"Belgium","BEL",8.6,9,9.2
"Benin","BEN",3.3,7.2,7.6
"Burkina Faso","BFA",7.8,6.63333333333333,7.3
"Bangladesh","BGD",8.65,8.7,8.76666666666667
"Bulgaria","BGR",5.3,5.7,6.1
"Bosnia and Herzegovina","BIH",7.5,7.5,7.5
"Belarus","BLR",9.7,10,10.3
"Bolivia","BOL",3.9,5.1,5.3
"Brazil","BRA",3.6,3.1,3.3
"Bhutan","BTN",6.7,7.54,8.38
"Canada","CAN",7,7.7,8.2
"Switzerland","CHE",7.8,7.4,7.5
"Chile","CHL",5.6,5.13333333333333,5.4
"China","CHN",6.4,6.7,7.4
"Cote d'Ivoire","CIV",5.7,7.2,7.6
"Cameroon","CMR",4.62857142857143,5.14285714285714,5.4
"Colombia","COL",3.8,3.7,3.1
"Costa Rica","CRI",4.3,4.4,4.3
"Cyprus","CYP",7.9,8.5,8.6
"Czechia","CZE",9.7,10.1,9.7
"Germany","DEU",8.1,7.9,7.8
"Djibouti","DJI",5.2,5.4,5.4
"Denmark","DNK",9.4,9.5,9.2
"Dominican Republic","DOM",5,6,6.6
"Ecuador","ECU",4.6,4.5,4.6
"Egypt, Arab Rep.","EGY",9.1,9,9.7
"Spain","ESP",5.8,6.2,6.4
"Estonia","EST",7.5,8.1,8.1
"Ethiopia","ETH",7.3,7.96666666666667,8.3
"Finland","FIN",9.4,9.2,9.3
"Fiji","FJI",7.8,8.4,8.4
"France","FRA",7.9,7.8,7.7
"United Kingdom","GBR",7.6,7.5,7.7
"Georgia","GEO",6.7,6.8,7
"Guinea","GIN",8.05,8.5,8.5
"Gambia, The","GMB",7.4,6.76,6.6
"Guinea-Bissau","GNB",6.5625,7.83333333333333,7.9
"Greece","GRC",5.8,7,7.1
