"Country","Code","Gini","Pobreza","Ingreso20","Desempleo","LogPBI"
"Albania","ALB",32.8,1.1,7.7,3981.72662261867,8.28947082898228
"Argentina","ARG",42.05,1.2,4.95,13679.6264980954,9.52366288803301
"Armenia","ARM",32.4,2.9,8.2,3512.39350276709,8.16405299368544
"Australia","AUS",34.05,0.5,7.55,56739.0265346593,10.9462175516182
"Austria","AUT",30.5,0.7,7.9,43915.228020857,10.6900164186606
"Benin","BEN",47.6,61.5,3.3,1002.41886879614,6.91017122702415
"Burkina Faso","BFA",37.225,55.95,7.8,630.124750752312,6.44591781684995
"Bangladesh","BGD",32.35,20.4333333333333,8.65,1224.38647668165,7.11019516215699
"Bulgaria","BGR",38.6,4.6,5.3,7268.65445473873,8.89132647151867
"Bolivia","BOL",46.7,6.2,3.9,2996.01289811344,8.00503764973914
"Chile","CHL",45.3,0.7,5.6,13433.9202987032,9.50553815300463
"China","CHN",38.6,3,6.4,8175.33285077393,9.00887671062759
"Colombia","COL",51,8.1,3.8,6248.51490534512,8.74009909935072
"Costa Rica","CRI",48.4,2.4,4.3,11714.7105980803,9.36860064710115
"Djibouti","DJI",42.85,28.3,5.2,2376.12554719873,7.77322651881667
"Ecuador","ECU",46,4.8,4.6,5976.1596805651,8.69553344676442
"Estonia","EST",32.7,0.7,7.5,17722.1557669523,9.78257087403664
"Fiji","FJI",34.7,2.63333333333333,7.8,5097.53106864695,8.53651159730928
"Georgia","GEO",36.5,10.6,6.7,4086.6223465965,8.31547407572165
"Guinea","GIN",31.65,16.5,8.05,747.356966759448,6.61654293813853
"Guinea-Bissau","GNB",40.725,51.575,6.5625,645.066837207039,6.46935393500403
"Guatemala","GTM",47.9555555555556,8.18888888888889,4.51111111111111,3893.50522093509,8.26706511595234
"Honduras","HND",49.2,19.9,3.7,2271.20265980349,7.72806477625859
"Indonesia","IDN",38.2,21.6,7.4,3288.22269725538,8.09810248419129
"India","IND",27.6,19.1727272727273,9.95454545454546,1583.99815907985,7.36770741017663
"Israel","ISR",39.7,0.5,5.1,36213.1041481958,10.4971763253543
"Jamaica","JAM",37.4857142857143,1.27857142857143,6.87142857142857,5062.8955502426,8.52969384174379
"Kenya","KEN",40.8,37.7,6.2,1489.11959777284,7.30594035032672
"Sri Lanka","LKA",39.15,4.45,7.15,4057.7158346231,8.30837549196614
"Madagascar","MDG",40.6666666666667,61.5,6.2,445.320069480568,6.0987932808844
"Malta","MLT",29.4,0.1,8.5,25529.6813131565,10.14759702732
"Montenegro","MNE",39,3.6,5.2,6491.19280618646,8.77820158421064
"Mongolia","MNG",32.15,1.35,8.05,3838.92126989984,8.25294668681964
"Mozambique","MOZ",53.34,61.5,4.26,610.563774706589,6.41438275116873
"Mauritania","MRT",32.48,11.4,7.56,1554.94897871782,7.3491980129611
"Malawi","MWI",44.8333333333333,61.5,6.25,539.605363240686,6.29083806357384
"Nigeria","NGA",35.9,35.8,7,2585.73360671797,7.85776454038206
"Nicaragua","NIC",46.2,6.6,5.1,2074.45620634731,7.63745432908844
"Portugal","PRT",35.5,0.7,6.7,19215.7813014347,9.86348716318894
"Paraguay","PRY",47.6,4.2,4.3,5879.33792308671,8.67919943643852
"Rwanda","RWA",44.1666666666667,61.5,6,733.998630392314,6.59850716266225
"Senegal","SEN",39.1571428571429,33.7571428571429,6.67142857142857,1218.00613555438,7.10497048565812
"El Salvador","SLV",40.6,5.3,6.1,3790.34089108162,8.24021123890809
"Serbia","SRB",40.5,8.4,4.4,5820.3215576888,8.66911078966123
"Chad","TCD",39.9857142857143,43.3142857142857,6.15714285714286,993.990730610869,6.90172788127192
"Togo","TGO",43,61.5,5.1,751.052405084336,6.62147542973484
"Tonga","TON",33.5,4,7.7,4123.90347238813,8.32455543855548
"Uganda","UGA",42.35,59.125,6.175,862.934610355811,6.76033891805723
"Uruguay","URY",40.1,0.2,5.6,17125.9016800298,9.74834731459277
"Viet Nam","VNM",35.05,2.95,7,2577.56885340113,7.85460192878403
"Kosovo","XKX",26.5,2.4,9.5,3520.62850699375,8.16639480577665
"Zambia","ZMB",55.8,61.5,3.1,1295.87788680068,7.16694364932532
